,S&P 500 Index,SCHG,SCHV,Invesco Funds - Invesco Global Investment Grade Corporate Bond Fund,iShares Core Global Aggt Bd ETF USD Dist,PIMCO GIS Asia Strategic Interest Bond Fund,"JANUS HENDERSON US SHORT TERM BOND ""A2"" (USD) ACC",Neuberger Berman High Yield Bond,Bloomberg Global-Aggregate Total Return Index Value Unhedged USD,MSCI World Index,MSCI World Net Total Return USD Index,AQUMON MPF Composite Index,AQUMON MPF Bond Index,AQUMON MPF Mixed Index,AQUMON MPF DIS Index,AQUMON MPF Equity Index,AQUMON MPF Equity Global Index,AQUMON MPF Equity US Index,AQUMON MPF Equity Europe Index,AQUMON MPF Equity Asia Index,AQUMON MPF Equity Greatchina index
2019-10-31,2.0076,110.56888,12.98,12.3848,5.31922,,17.51,16.8,512.5915,2233.53,6526.904,1.219847885,1.044004194,1.228215587,1.19501093,1.293171107,1.303382698,1.603161702,1.130599109,1.266450671,1.285624936
2019-11-01,2.0205,111.49774,12.98,12.3848,5.31747,,17.5,16.82,512.4097,2252.07,6581.34,1.224916144,1.044415248,1.232684457,1.197995487,1.301845322,1.314157303,1.615754175,1.139744859,1.273998506,1.294504579
2019-11-04,2.0256,111.9798,12.99,12.4032,5.30258,,17.49,16.83,511.0126,2261.45,6608.869,1.232559765,1.043888233,1.237580446,1.198775354,1.31781693,1.320958738,1.622450539,1.153025572,1.293508854,1.316309282
2019-11-05,2.0238,111.86222,12.98,12.3799,5.27209,,17.48,16.83,508.1035,2259.26,6602.564,1.23338384,1.042542185,1.236724782,1.196067096,1.321987288,1.321033071,1.620049504,1.150402791,1.300357372,1.322474019
2019-11-06,2.026,111.96804,12.98,12.36,5.27723,,17.49,16.82,508.5848,2261.37,6608.961,1.233124783,1.042556096,1.236602091,1.196845528,1.321398354,1.320399257,1.618388077,1.150850868,1.299745545,1.322474009
2019-11-07,2.027,112.26198,12.98,12.3661,5.25166,,17.46,16.82,506.042,2266.69,6626.208,1.234884793,1.04127689,1.236790864,1.194248679,1.326921995,1.325210399,1.623127432,1.155832152,1.305545338,1.329565343
2019-11-08,2.0257,112.37956,12.97,12.3296,5.24468,,17.48,16.82,505.4205,2268.83,6633.054,1.231866924,1.040315876,1.23458953,1.193485485,1.321691249,1.325189691,1.6271706,1.151113025,1.297997377,1.321005635
2019-11-11,2.0206,112.27374,12.97,12.3274,5.2454,,17.47,16.83,505.5027,2266.36,6626.33,1.222709864,1.039562232,1.228622778,1.192073756,1.303579692,1.321152559,1.627351297,1.150698171,1.271987764,1.288945468
2019-11-12,2.0252,112.46186,12.97,12.3164,5.24273,,17.47,16.83,505.3063,2270.01,6637.461,1.226098149,1.039537168,1.231296476,1.193274875,1.309938964,1.324939515,1.627752896,1.155212913,1.279815367,1.296891837
2019-11-13,2.0289,112.37956,12.97,12.3402,5.25454,,17.48,16.82,506.4411,2268.33,6632.597,1.220579642,1.039649007,1.228442355,1.193950678,1.297793114,1.321659763,1.628379303,1.150463474,1.263122653,1.277711821
